"symbol","ensembl","log2FoldChange","padj","significance"
"TK1","ENSG00000167900",3.16392579234788,6.55871190009637e-46,"Up"
"PLK1","ENSG00000166851",3.87350857931917,1.84015706657652e-44,"Up"
"RRM2","ENSG00000171848",3.80686098545399,6.81831293487619e-42,"Up"
"CCNA2","ENSG00000145386",3.81673743098114,9.06023240708098e-41,"Up"
"PKMYT1","ENSG00000127564",3.23191005795981,5.71250106263405e-39,"Up"
"FOXM1","ENSG00000111206",3.09559169317175,1.72673377606351e-38,"Up"
"TPX2","ENSG00000088325",3.20202146440297,4.42997513756966e-38,"Up"
"UHRF1","ENSG00000276043",2.87126477958129,1.76354616800206e-37,"Up"
"UBE2C","ENSG00000175063",3.54644195523654,4.82653492367294e-36,"Up"
"AURKB","ENSG00000178999",3.14833791980357,3.38421946441728e-35,"Up"
"BIRC5","ENSG00000089685",3.82187192784695,1.01083373202017e-34,"Up"
"HJURP","ENSG00000123485",3.12575195023189,7.72025744025994e-34,"Up"
"SHCBP1","ENSG00000171241",3.16715498760106,1.33489104395806e-33,"Up"
"IGHV4-59","ENSG00000224373",3.73186242710831,5.85207198105205e-33,"Up"
"CDC20","ENSG00000117399",3.60783801394614,9.77208399480298e-33,"Up"
"DTL","ENSG00000143476",3.16871637877342,1.56243986060904e-32,"Up"
"KIF4A","ENSG00000090889",3.47691083832746,3.72448409534857e-32,"Up"
"IFI27","ENSG00000165949",8.78336816467404,3.72448409534857e-32,"Up"
"BUB1","ENSG00000169679",3.1291227321239,1.02222370690156e-31,"Up"
"MZB1","ENSG00000170476",3.39497156826584,7.37226300172996e-31,"Up"
"IGHV1-24","ENSG00000211950",5.5099563599059,7.37226300172996e-31,"Up"
"MKI67","ENSG00000148773",3.16214346836258,2.37026540584052e-30,"Up"
"CDT1","ENSG00000167513",2.76487336959423,1.17214783175318e-28,"Up"
"TRIP13","ENSG00000071539",3.06090019349994,4.01277782572091e-28,"Up"
"H1-5","ENSG00000184357",3.18996882042788,4.11704846330117e-28,"Up"
"ASPM","ENSG00000066279",3.03452248885657,5.27280581393464e-28,"Up"
"CDC45","ENSG00000093009",3.11813929250544,1.65898294436485e-27,"Up"
"KIF20A","ENSG00000112984",3.44332907498688,4.66552614981962e-27,"Up"
"E2F2","ENSG00000007968",1.71391816688275,5.34798231227374e-27,"Up"
"ZWINT","ENSG00000122952",2.34226131912338,5.55205096910475e-27,"Up"
"GTSE1","ENSG00000075218",3.00897329579793,6.79447250994886e-26,"Up"
"PBK","ENSG00000168078",4.0611332655623,2.77523937593714e-25,"Up"
"GINS2","ENSG00000131153",2.76985844289509,3.95544188776384e-25,"Up"
"MCM10","ENSG00000065328",3.49692159417171,5.93788337508454e-25,"Up"
"CDCA3","ENSG00000111665",2.41408189474666,6.18898267007263e-25,"Up"
"SLC38A5","ENSG00000017483",1.38175732365738,9.47124322782264e-25,"Up"
"CDC6","ENSG00000094804",2.92322466016961,1.58030471412183e-24,"Up"
"CCNB2","ENSG00000157456",3.40376153060267,1.92479922465051e-24,"Up"
"HMMR","ENSG00000072571",3.083058135227,2.28806742205093e-24,"Up"
"TOP2A","ENSG00000131747",3.28389042907407,2.73151650889159e-24,"Up"
"MCM2","ENSG00000073111",1.79336270002683,2.99624942043307e-24,"Up"
"SKA1","ENSG00000154839",3.11894244243091,4.59697130501915e-24,"Up"
"KIFC1","ENSG00000237649",2.69222617766361,6.62636018738609e-24,"Up"
"IGLV9-49","ENSG00000223350",4.29882693662605,7.64427314461346e-24,"Up"
"CEP55","ENSG00000138180",3.49561867134386,7.89840566946496e-24,"Up"
"RNASE1","ENSG00000129538",5.41601822876839,9.38297774361645e-24,"Up"
"IGHV4-34","ENSG00000211956",4.4956278586281,1.24125340230064e-23,"Up"
"MYBL2","ENSG00000101057",3.40414300383501,1.24357130184452e-23,"Up"
"CACNA2D3","ENSG00000157445",-2.44804569588267,2.25844802585591e-23,"Down"
"CLSPN","ENSG00000092853",2.69114687372054,2.58490245194203e-23,"Up"
"TYMS","ENSG00000176890",2.91661412187364,4.86650551839999e-23,"Up"
"ESPL1","ENSG00000135476",2.77085698406336,6.61389921888684e-23,"Up"
